▲ Next.js 16.2.2 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.0.101:3000
- Environments: .env.local
✓ Ready in 1396ms
- Experiments (use with caution):
  · clientTraceMetadata
  · optimizePackageImports
  · serverActions

○ Compiling /auth/login ...
 HEAD /auth/login 200 in 6.3s (next.js: 5.4s, application-code: 920ms)
 GET /auth/login 200 in 4.8s (next.js: 4.2s, application-code: 590ms)
✓ Finished filesystem cache database compaction in 12.6s
 GET /platform 200 in 1088ms (next.js: 100ms, proxy.ts: 97ms, application-code: 892ms)
 GET /platform 200 in 1050ms (next.js: 72ms, proxy.ts: 135ms, application-code: 844ms)
 GET /platform 200 in 1040ms (next.js: 117ms, proxy.ts: 119ms, application-code: 804ms)
 GET /platform 200 in 1107ms (next.js: 78ms, proxy.ts: 120ms, application-code: 910ms)
 GET /platform 200 in 1059ms (next.js: 162ms, proxy.ts: 73ms, application-code: 823ms)
 GET /platform 200 in 1072ms (next.js: 156ms, proxy.ts: 122ms, application-code: 795ms)
 GET /platform 200 in 1133ms (next.js: 163ms, proxy.ts: 240ms, application-code: 730ms)
 GET /platform 200 in 1138ms (next.js: 112ms, proxy.ts: 239ms, application-code: 787ms)
 GET /platform 200 in 1073ms (next.js: 19ms, proxy.ts: 134ms, application-code: 920ms)
 GET /platform 200 in 1054ms (next.js: 147ms, proxy.ts: 15ms, application-code: 893ms)
 GET /platform 200 in 948ms (next.js: 28ms, proxy.ts: 24ms, application-code: 896ms)
 GET /platform 200 in 938ms (next.js: 70ms, proxy.ts: 19ms, application-code: 849ms)
 GET /platform 200 in 987ms (next.js: 106ms, proxy.ts: 126ms, application-code: 755ms)
 GET /platform 200 in 941ms (next.js: 87ms, proxy.ts: 149ms, application-code: 706ms)
 GET /platform 200 in 892ms (next.js: 78ms, proxy.ts: 182ms, application-code: 633ms)
 GET /platform 200 in 967ms (next.js: 87ms, proxy.ts: 126ms, application-code: 755ms)
 GET /platform 200 in 966ms (next.js: 119ms, proxy.ts: 183ms, application-code: 664ms)
 GET /platform 200 in 941ms (next.js: 175ms, proxy.ts: 135ms, application-code: 632ms)
 GET /platform 200 in 815ms (next.js: 70ms, proxy.ts: 117ms, application-code: 629ms)
 GET /platform 200 in 881ms (next.js: 21ms, proxy.ts: 118ms, application-code: 742ms)
 GET /platform 200 in 983ms (next.js: 17ms, proxy.ts: 129ms, application-code: 837ms)
 GET /platform 200 in 1027ms (next.js: 25ms, proxy.ts: 64ms, application-code: 938ms)
 GET /platform 200 in 1057ms (next.js: 25ms, proxy.ts: 24ms, application-code: 1009ms)
 GET /platform 200 in 1048ms (next.js: 70ms, proxy.ts: 17ms, application-code: 961ms)
 GET /platform 200 in 1099ms (next.js: 36ms, proxy.ts: 213ms, application-code: 850ms)
 GET /platform 200 in 1053ms (next.js: 83ms, proxy.ts: 169ms, application-code: 802ms)
 GET /platform 200 in 942ms (next.js: 157ms, proxy.ts: 74ms, application-code: 712ms)
 GET /platform 200 in 940ms (next.js: 239ms, proxy.ts: 72ms, application-code: 629ms)
 GET /platform 200 in 944ms (next.js: 198ms, proxy.ts: 72ms, application-code: 673ms)
 GET /platform 200 in 958ms (next.js: 172ms, proxy.ts: 156ms, application-code: 630ms)
 GET /platform 200 in 796ms (next.js: 87ms, proxy.ts: 81ms, application-code: 628ms)
 GET /platform 200 in 943ms (next.js: 125ms, proxy.ts: 73ms, application-code: 746ms)
 GET /platform 200 in 926ms (next.js: 16ms, proxy.ts: 136ms, application-code: 774ms)
 GET /platform 200 in 973ms (next.js: 38ms, proxy.ts: 57ms, application-code: 878ms)
 GET /platform 200 in 980ms (next.js: 30ms, proxy.ts: 23ms, application-code: 927ms)
 GET /platform 200 in 972ms (next.js: 75ms, proxy.ts: 18ms, application-code: 879ms)
